192	8.4	7.3	apple
180	8	6.8	apple
176	7.4	7.2	apple
86	6.2	4.7	mandarin
84	6	4.6	mandarin
80	5.8	4.3	mandarin
80	5.9	4.3	mandarin
76	5.8	4	mandarin
178	7.1	7.8	apple
172	7.4	7	apple
166	6.9	7.3	apple
172	7.1	7.6	apple
154	7	7.1	apple
164	7.3	7.7	apple
152	7.6	7.3	apple
156	7.7	7.1	apple
156	7.6	7.5	apple
168	7.5	7.6	apple
162	7.5	7.1	apple
162	7.4	7.2	apple
160	7.5	7.5	apple
156	7.4	7.4	apple
140	7.3	7.1	apple
170	7.6	7.9	apple
342	9	9.4	orange
356	9.2	9.2	orange
362	9.6	9.2	orange
204	7.5	9.2	orange
140	6.7	7.1	orange
160	7	7.4	orange
158	7.1	7.5	orange
210	7.8	8	orange
164	7.2	7	orange
190	7.5	8.1	orange
142	7.6	7.8	orange
150	7.1	7.9	orange
160	7.1	7.6	orange
154	7.3	7.3	orange
158	7.2	7.8	orange
144	6.8	7.4	orange
154	7.1	7.5	orange
180	7.6	8.2	orange
154	7.2	7.2	orange
194	7.2	10.3	lemon
200	7.3	10.5	lemon
186	7.2	9.2	lemon
216	7.3	10.2	lemon
196	7.3	9.7	lemon
174	7.3	10.1	lemon
132	5.8	8.7	lemon
130	6	8.2	lemon
116	6	7.5	lemon
118	5.9	8	lemon
120	6	8.4	lemon
116	6.1	8.5	lemon
116	6.3	7.7	lemon
116	5.9	8.1	lemon
152	6.5	8.5	lemon
118	6.1	8.1	lemon
